RANK,PLAYER,fantasy_player_id,LG,20+,TD,REC,TGT,YDS,Y/R,TD,FL,G,FPTS,FPTS/G
1,Austin Ekeler (LAC),00-0033699,71,6,7,69,83,437,6.3,4,1,10,230.1,23
2,Derrick Henry (TEN),00-0032764,56,12,10,18,23,199,11.1,0,0,10,203.1,20.3
3,Christian McCaffrey (SF),00-0033280,49,6,4,54,67,462,8.6,2,0,10,201.8,20.2
4,Josh Jacobs (LV),00-0033280,43,7,7,34,41,251,7.4,0,0,10,194.1,19.4
5,Nick Chubb (CLE),00-0034791,41,14,11,16,22,136,8.5,0,1,10,187.9,18.8
6,Saquon Barkley (NYG),00-0034844,68,14,6,31,41,210,6.8,0,0,10,185.3,18.5
7,Joe Mixon (CIN),00-0033897,31,4,6,41,53,314,7.7,2,0,10,180.9,18.1
8,Aaron Jones (GB),00-0033293,36,8,2,40,49,248,6.2,3,1,11,172.6,15.7
9,Rhamondre Stevenson (NE),00-0036875,49,8,4,41,49,283,6.9,1,0,10,163.7,16.4
10,Tony Pollard (DAL),00-0035261,57,14,6,21,31,243,11.6,2,0,10,163.4,16.3
11,Dalvin Cook (MIN),00-0033893,81,10,6,22,34,146,6.6,1,1,10,156.5,15.7
12,Leonard Fournette (TB),00-0033856,17,0,3,43,50,315,7.3,3,0,10,155.7,15.6
13,Jamaal Williams (DET),00-0033948,51,5,12,9,12,57,6.3,0,1,10,153.5,15.4
14,Alvin Kamara (NO),00-0033906,27,2,1,43,58,385,9,2,2,9,146.6,16.3
15,Antonio Gibson (WAS),00-0036328,20,1,3,37,44,284,7.7,2,0,11,139.8,12.7
16,Travis Etienne Jr. (JAC),00-0036973,49,13,4,22,31,202,9.2,0,1,10,138.7,13.9
17,Dameon Pierce (HOU),00-0037258,75,12,3,24,30,135,5.6,1,1,10,137.5,13.8
18,Kenneth Walker III (SEA),00-0038134,74,12,7,18,24,103,5.7,0,0,9,129,14.3
19,Miles Sanders (PHI),00-0035243,35,6,6,12,15,43,3.6,0,0,10,128,12.8
20,Najee Harris (PIT),00-0036893,36,2,3,28,35,138,4.9,2,1,10,125,12.5
21,Devin Singletary (BUF),00-0035250,30,4,3,30,39,218,7.3,1,2,10,119.8,12
22,Breece Hall (NYJ),00-0038120,62,7,4,19,31,218,11.5,1,1,7,115.1,16.4
23,Jeff Wilson Jr. (MIA),00-0034115,41,10,3,15,21,136,9.1,1,2,10,112.4,11.2
24,Jonathan Taylor (IND),00-0036223,66,8,3,21,31,97,4.6,0,3,8,112,14
25,Raheem Mostert (MIA),00-0031687,25,4,3,17,26,119,7,1,0,10,107.2,10.7
26,Khalil Herbert (CHI),00-0036906,63,11,4,6,7,62,10.3,1,0,10,106.5,10.7
27,David Montgomery (CHI),00-0035685,28,1,3,18,21,204,11.3,0,1,10,104.5,10.5
28,James Conner (ARI),00-0033553,17,0,4,24,32,151,6.3,0,0,8,98.7,12.3
29,Michael Carter (NYJ),00-0036924,25,3,3,26,34,194,7.5,0,0,10,98.3,9.8
30,Clyde Edwards-Helaire (KC),00-0036360,52,5,3,17,23,151,8.9,3,0,10,98.3,9.8
31,Kareem Hunt (CLE),00-0033923,24,2,3,22,26,149,6.8,1,0,10,95.5,9.6
32,Ezekiel Elliott (DAL),00-0033045,27,1,6,7,9,37,5.3,0,0,8,95.2,11.9
33,D'Andre Swift (DET),00-0036275,50,8,3,20,27,162,8.1,2,0,7,93.5,13.4
34,Cordarrelle Patterson (ATL),00-0030578,40,3,5,8,11,46,5.8,0,1,7,92,13.1
35,James Robinson (NYJ),00-0035831,50,8,3,11,14,51,4.6,2,0,10,87.6,8.8
36,Melvin Gordon III (FA),00-0032144,17,0,2,25,32,223,8.9,0,2,10,87.1,8.7
37,Eno Benjamin (HOU),00-0036383,45,3,2,24,33,184,7.7,0,0,10,86.3,8.6
38,AJ Dillon (GB),00-0036265,27,1,1,17,26,109,6.4,0,0,11,80.6,7.3
39,Tyler Allgeier (ATL),00-0037263,44,7,1,10,10,87,8.7,1,0,10,80.5,8.1
40,Samaje Perine (CIN),00-0033526,29,1,0,22,26,178,8.1,4,0,10,80.1,8
41,Kenyan Drake (BAL),00-0033118,40,9,3,11,15,52,4.7,1,0,8,79.2,9.9
42,D'Onta Foreman (CAR),00-0033118,60,6,4,4,8,25,6.3,0,0,10,77.5,7.8
43,Damien Harris (NE),00-0035657,30,3,3,13,16,75,5.8,0,0,8,75.2,9.4
44,Darrell Henderson Jr. (LAR),00-0035664,23,1,3,17,22,102,6,0,0,10,73.5,7.4
45,Latavius Murray (DEN),00-0030513,14,0,4,12,14,64,5.3,0,0,7,69,9.9
46,Dontrell Hilliard (TEN),00-0034253,30,3,0,16,21,160,10,4,0,9,68.7,7.6
47,Jerick McKinnon (KC),00-0031376,30,2,0,26,34,212,8.2,1,1,10,66.1,6.6
48,Rachaad White (TB),00-0037256,29,1,1,20,25,135,6.8,0,1,10,59.7,6
49,Rex Burkhead (HOU),00-0030288,9,0,0,27,35,159,5.9,1,0,9,57.2,6.4
50,J.D. McKissic (WAS),00-0032602,33,2,0,27,40,173,6.4,0,0,8,55.8,7
51,Nyheim Hines (BUF),00-0034367,9,0,1,26,31,197,7.6,0,0,10,54.5,5.5
52,Brian Robinson Jr. (WAS),00-0037746,24,1,2,4,4,7,1.8,0,0,7,52.9,7.6
53,Rashaad Penny (SEA),00-0034750,41,9,2,4,5,16,4,0,0,5,52.2,10.4
54,Chase Edmonds (DEN),00-0034681,28,1,2,11,19,96,8.7,1,0,10,52.1,5.2
55,Deon Jackson (IND),00-0036493,17,0,1,20,21,124,6.2,0,0,7,51.4,7.3