RANK,PLAYER,fantasy_player_id,FPTS,FPTS/G
1,Stefon Diggs (BUF),00-0031588,227.3,22.7
2,Tyreek Hill (MIA),00-0033040,222.3,22.2
3,Davante Adams (LV),00-0031381,216.4,21.6
4,Justin Jefferson (MIN),00-0036322,215.5,21.6
5,Cooper Kupp (LAR),00-0033908,201.4,22.4
6,Jaylen Waddle (MIA),00-0036613,174.5,17.5
7,CeeDee Lamb (DAL),00-0036358,164.3,16.4
8,A.J. Brown (PHI),00-0035676,161.5,16.2
9,Christian Kirk (JAC),00-0034775,161.1,16.1
10,Amari Cooper (CLE),00-0031544,160.8,16.1
11,Chris Olave (NO),00-0037239,145,14.5
12,Tyler Lockett (SEA),00-0032211,144,14.4
13,Terry McLaurin (WAS),00-0035659,142.4,12.9
14,Ja'Marr Chase (CIN),00-0036900,141.7,20.2
15,Amon-Ra St. Brown (DET),00-0036963,140.8,15.6
16,Brandon Aiyuk (SF),00-0036261,139.4,13.9
17,Tee Higgins (CIN),00-0036410,139.2,15.5
18,Michael Pittman Jr. (IND),00-0036252,138.8,13.9
19,Curtis Samuel (WAS),00-0033282,134.5,12.2
20,Mike Evans (TB),00-0031408,134.1,14.9
21,Deebo Samuel (SF),00-0035719,130,14.4
22,DK Metcalf (SEA),00-0035640,126.1,12.6
23,DeVonta Smith (PHI),00-0036912,123.9,12.4
24,Tyler Boyd (CIN),00-0033009,123.8,12.4
25,Allen Lazard (GB),00-0034521,120.9,13.4
26,Gabe Davis (BUF),00-0036196,120.2,13.4
27,JuJu Smith-Schuster (KC),00-0033857,117.5,13.1
28,DJ Moore (CAR),00-0034827,114.1,10.4
29,Courtland Sutton (DEN),00-0034348,113.8,11.4
30,Joshua Palmer (LAC),00-0036988,113,12.6
31,Jakobi Meyers (NE),00-0034960,111.8,14
32,Garrett Wilson (NYJ),00-0037740,109.8,11
33,Marquise Brown (ARI),00-0035662,109.5,18.3
34,Parris Campbell (IND),00-0035639,108.9,9.9
35,Adam Thielen (MIN),00-0030035,108.2,10.8
36,Mike Williams (LAC),00-0033536,107,13.4
37,DeAndre Hopkins (ARI),00-0030564,105.7,21.1
38,Drake London (ATL),00-0037238,103.9,9.4
39,Chris Godwin (TB),00-0033921,102,12.8
40,Donovan Peoples-Jones (CLE),00-0036233,101.9,10.2
41,Darnell Mooney (CHI),00-0036309,101.5,9.2
42,Diontae Johnson (PIT),00-0035216,100.9,10.1
43,George Pickens (PIT),00-0037247,98.7,9.9
44,Zay Jones (JAC),00-0033891,96.8,10.8
45,Mack Hollins (LV),00-0033555,95,9.5
46,Devin Duvernay (BAL),00-0036331,94,9.4
47,Mecole Hardman (KC),00-0035140,93.8,11.7
48,Jerry Jeudy (DEN),00-0036407,93,10.3
49,Brandin Cooks (HOU),00-0031236,91.6,10.2
50,Rondale Moore (ARI),00-0036936,87.9,11
51,Chase Claypool (CHI),00-0036326,87.2,7.9
52,Allen Robinson II (LAR),00-0031428,84.9,8.5
53,Christian Watson (GB),00-0038124,80.5,10.1
54,Romeo Doubs (GB),00-0037816,79.5,8.8
55,Marquez Valdes-Scantling (KC),00-0034272,78.6,7.9